Hour,Temperature,Apparent Temperature,Wind,Relative Humidity,Date
00:51,6°C,4°C,Variable à 7 Km/h,49%,2016-01-01
01:51,5°C,4°C,Variable à 6 Km/h,53%,2016-01-01
02:51,5°C,3°C,280°7 Km/h,57%,2016-01-01
03:51,5°C,2°C,280°15 Km/h,57%,2016-01-01
04:51,4°C,0°C,270°17 Km/h,61%,2016-01-01
05:51,4°C,1°C,290°11 Km/h,61%,2016-01-01
06:51,4°C,4°C,Calme,61%,2016-01-01
07:51,4°C,1°C,280°11 Km/h,56%,2016-01-01
08:51,4°C,1°C,260°11 Km/h,56%,2016-01-01
09:51,4°C,2°C,290°7 Km/h,56%,2016-01-01
10:51,4°C,2°C,"Variable à 9 Km/h, 31 km/h Rafales de Vent",56%,2016-01-01
11:51,4°C,1°C,270°15 Km/h,52%,2016-01-01
12:51,4°C,0°C,280°22 Km/h,52%,2016-01-01
13:51,4°C,1°C,"Variable à 11 Km/h, 35 km/h Rafales de Vent",52%,2016-01-01
14:51,4°C,0°C,290°19 Km/h,48%,2016-01-01
15:51,4°C,4°C,Calme,45%,2016-01-01
16:51,3°C,-1°C,280°19 Km/h,48%,2016-01-01
17:51,3°C,0°C,300°13 Km/h,48%,2016-01-01
18:51,3°C,-2°C,290°20 Km/h,48%,2016-01-01
19:51,3°C,-1°C,280°15 Km/h,48%,2016-01-01
20:51,2°C,-1°C,290°11 Km/h,52%,2016-01-01
21:51,2°C,2°C,Calme,52%,2016-01-01
22:51,2°C,-1°C,Variable à 9 Km/h,52%,2016-01-01
23:51,2°C,-2°C,270°15 Km/h,44%,2016-01-01
00:51,1°C,-2°C,"Variable à 9 Km/h, 30 km/h Rafales de Vent",48%,2016-01-02
01:51,1°C,-3°C,270°13 Km/h,48%,2016-01-02
02:51,1°C,-3°C,290°13 Km/h,51%,2016-01-02
03:51,1°C,-4°C,280°22 Km/h,51%,2016-01-02
04:51,1°C,-3°C,280°17 Km/h,51%,2016-01-02
05:51,1°C,-3°C,270°15 Km/h,51%,2016-01-02
06:51,1°C,1°C,Calme,51%,2016-01-02
07:51,1°C,-1°C,270°7 Km/h,51%,2016-01-02
08:51,1°C,-2°C,260°11 Km/h,51%,2016-01-02
09:51,2°C,-1°C,Variable à 9 Km/h,48%,2016-01-02
10:51,3°C,0°C,Variable à 9 Km/h,45%,2016-01-02
11:51,3°C,1°C,"Variable à 7 Km/h, 26 km/h Rafales de Vent",45%,2016-01-02
12:51,3°C,0°C,290°13 Km/h,45%,2016-01-02
13:51,4°C,1°C,250°13 Km/h,42%,2016-01-02
14:51,4°C,1°C,290°15 Km/h,45%,2016-01-02
15:51,4°C,1°C,290°11 Km/h,45%,2016-01-02
16:51,4°C,1°C,Variable à 11 Km/h,42%,2016-01-02
17:51,3°C,0°C,310°9 Km/h,45%,2016-01-02
18:51,2°C,2°C,Calme,48%,2016-01-02
19:51,2°C,-1°C,290°11 Km/h,48%,2016-01-02
20:51,2°C,0°C,240°7 Km/h,48%,2016-01-02
21:51,2°C,2°C,Calme,48%,2016-01-02
22:51,2°C,-1°C,Variable à 11 Km/h,52%,2016-01-02
23:51,2°C,-2°C,250°13 Km/h,52%,2016-01-02
00:51,2°C,2°C,Calme,52%,2016-01-03
01:51,2°C,-3°C,260°19 Km/h,52%,2016-01-03
02:51,2°C,-1°C,240°11 Km/h,52%,2016-01-03
03:51,2°C,2°C,Calme,52%,2016-01-03
04:51,3°C,0°C,"Variable à 11 Km/h, 39 km/h Rafales de Vent",48%,2016-01-03
05:51,2°C,0°C,Variable à 7 Km/h,52%,2016-01-03
06:51,2°C,0°C,250°7 Km/h,56%,2016-01-03
07:51,2°C,0°C,Variable à 7 Km/h,56%,2016-01-03
08:51,3°C,-1°C,240°17 Km/h,52%,2016-01-03
09:51,4°C,4°C,Calme,48%,2016-01-03
10:51,6°C,4°C,"Variable à 9 Km/h, 26 km/h Rafales de Vent",39%,2016-01-03
11:51,7°C,4°C,290°19 Km/h,37%,2016-01-03
12:51,7°C,7°C,Calme,37%,2016-01-03
13:51,7°C,5°C,280°13 Km/h,39%,2016-01-03
14:51,6°C,3°C,310°17 Km/h,42%,2016-01-03
15:51,5°C,2°C,280°15 Km/h,42%,2016-01-03
16:51,5°C,1°C,290°19 Km/h,45%,2016-01-03
17:51,5°C,2°C,290°11 Km/h,45%,2016-01-03
18:51,4°C,1°C,280°15 Km/h,48%,2016-01-03
19:51,4°C,1°C,290°13 Km/h,48%,2016-01-03
20:51,3°C,-1°C,290°17 Km/h,52%,2016-01-03
21:51,3°C,-1°C,280°15 Km/h,52%,2016-01-03
22:51,3°C,-1°C,280°15 Km/h,56%,2016-01-03
23:51,2°C,-1°C,Variable à 11 Km/h,60%,2016-01-03
00:51,2°C,0°C,Variable à 7 Km/h,60%,2016-01-04
01:51,2°C,-1°C,Variable à 9 Km/h,60%,2016-01-04
02:51,2°C,0°C,Variable à 6 Km/h,52%,2016-01-04
03:51,1°C,-1°C,Variable à 7 Km/h,51%,2016-01-04
04:51,1°C,-3°C,310°15 Km/h,48%,2016-01-04
05:51,-1°C,-6°C,310°17 Km/h,55%,2016-01-04
06:51,-1°C,-6°C,310°19 Km/h,51%,2016-01-04
07:51,-2°C,-6°C,Variable à 11 Km/h,51%,2016-01-04
08:51,-2°C,-6°C,Variable à 11 Km/h,51%,2016-01-04
09:51,-2°C,-5°C,Variable à 7 Km/h,43%,2016-01-04
10:51,-2°C,-8°C,300°19 Km/h,43%,2016-01-04
11:51,-2°C,-7°C,320°15 Km/h,37%,2016-01-04
12:51,-1°C,-1°C,Calme,29%,2016-01-04
13:51,-2°C,-5°C,"Variable à 7 Km/h, 37 km/h Rafales de Vent",31%,2016-01-04
14:51,-2°C,-5°C,"Variable à 9 Km/h, 31 km/h Rafales de Vent",29%,2016-01-04
15:51,-3°C,-9°C,40°19 Km/h,39%,2016-01-04
16:51,-5°C,-11°C,30°19 Km/h,42%,2016-01-04
17:51,-6°C,-13°C,20°20 Km/h,45%,2016-01-04
18:51,-7°C,-7°C,Calme,45%,2016-01-04
19:51,-7°C,-14°C,10°20 Km/h,45%,2016-01-04
20:51,-8°C,-15°C,360°17 Km/h,49%,2016-01-04
21:51,-8°C,-14°C,350°15 Km/h,45%,2016-01-04
22:51,-9°C,-17°C,10°20 Km/h,48%,2016-01-04
23:51,-9°C,-15°C,350°15 Km/h,48%,2016-01-04
00:51,-11°C,-20°C,360°22 Km/h,57%,2016-01-05
01:51,-11°C,-17°C,20°13 Km/h,57%,2016-01-05
02:51,-11°C,-15°C,"Variable à 7 Km/h, 33 km/h Rafales de Vent",57%,2016-01-05
03:51,-11°C,-17°C,"Variable à 11 Km/h, 37 km/h Rafales de Vent",52%,2016-01-05
04:51,-11°C,-15°C,"Variable à 7 Km/h, 37 km/h Rafales de Vent",52%,2016-01-05
05:51,-12°C,-20°C,30°17 Km/h,56%,2016-01-05
06:51,-12°C,-12°C,Calme,56%,2016-01-05
07:51,-11°C,-16°C,Variable à 9 Km/h,52%,2016-01-05
08:51,-11°C,-19°C,350°20 Km/h,48%,2016-01-05
09:51,-8°C,-8°C,Calme,41%,2016-01-05
10:51,-7°C,-12°C,"Variable à 11 Km/h, 26 km/h Rafales de Vent",35%,2016-01-05
11:51,-6°C,-12°C,40°17 Km/h,30%,2016-01-05
12:51,-4°C,-8°C,Variable à 11 Km/h,26%,2016-01-05
13:51,-3°C,-7°C,Variable à 9 Km/h,24%,2016-01-05
14:51,-2°C,-5°C,300°7 Km/h,24%,2016-01-05
15:51,-2°C,-2°C,Calme,26%,2016-01-05
16:51,-2°C,-2°C,Calme,24%,2016-01-05
17:51,-3°C,-3°C,Calme,28%,2016-01-05
18:51,-3°C,-3°C,Calme,28%,2016-01-05
19:51,-2°C,-2°C,Calme,26%,2016-01-05
20:51,-2°C,-4°C,290°6 Km/h,26%,2016-01-05
